                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76886,                0.55251,                0.94055,                 0.9567,                0.56654,                0.58768,                0.40175,                0.63847,                0.31742,                0.86979,               0.070018,              0.0033313,              0.0033313
                      1,                0.69376,                0.39314,                0.91147,                0.63301,                0.57729,                0.60701,                 0.4327,                0.58349,                 0.3215,                 0.8576,               0.039952,              0.0065986,              0.0065986
                      2,                0.70561,                0.41503,                0.92613,                0.63363,                0.57426,                0.60043,                0.43283,                0.59052,                0.32927,                0.87906,              0.0098205,                 0.0098,                 0.0098
                      3,                0.69615,                0.40752,                 0.9295,                0.64125,                0.59245,                 0.6129,                0.44966,                0.52766,                0.30467,                0.85326,               0.009703,               0.009703,               0.009703
                      4,                0.64559,                0.37344,                0.90646,                0.64421,                0.59635,                0.61937,                0.46004,                 0.5064,                0.27962,                0.84575,               0.009703,               0.009703,               0.009703
                      5,                0.61582,                0.35114,                0.89715,                0.64451,                0.60379,                0.62534,                0.47131,                  0.494,                0.26967,                0.84259,               0.009604,               0.009604,               0.009604
                      6,                0.59081,                0.33568,                0.88677,                0.64734,                0.61062,                0.63234,                0.48594,                0.46226,                0.25496,                0.83167,               0.009505,               0.009505,               0.009505
                      7,                0.56641,                0.32282,                0.87929,                0.64795,                0.61715,                0.63641,                0.49144,                0.44754,                0.24619,                0.82677,               0.009406,               0.009406,               0.009406
                      8,                 0.5501,                 0.3102,                0.87271,                0.98076,                0.62056,                0.63774,                0.49676,                0.43709,                 0.2366,                0.82462,               0.009307,               0.009307,               0.009307
                      9,                0.53682,                0.30145,                 0.8682,                 0.6529,                0.62121,                 0.6393,                0.49761,                0.42602,                0.22559,                0.81951,               0.009208,               0.009208,               0.009208
                     10,                0.52658,                0.29546,                0.86601,                0.65135,                 0.6251,                0.64131,                0.50378,                0.41126,                0.22061,                0.81549,               0.009109,               0.009109,               0.009109
                     11,                0.51053,                0.28784,                 0.8593,                0.98444,                0.62508,                0.64256,                0.50795,                 0.4033,                0.21306,                0.81155,                0.00901,                0.00901,                0.00901
                     12,                0.49771,                0.28079,                0.85401,                0.65341,                0.62691,                0.64367,                0.50549,                0.40564,                0.21311,                0.81152,               0.008911,               0.008911,               0.008911
                     13,                0.49481,                 0.2769,                0.85426,                0.98772,                0.63103,                0.65821,                 0.5198,                0.38745,                0.20492,                  0.807,               0.008812,               0.008812,               0.008812
                     14,                0.48737,                0.27312,                0.84992,                0.98735,                0.63311,                0.67045,                0.52891,                0.38245,                 0.2033,                0.80428,               0.008713,               0.008713,               0.008713
                     15,                0.47909,                0.26799,                0.84998,                0.98667,                0.63449,                0.66555,                0.52701,                0.37773,                0.20224,                0.80543,               0.008614,               0.008614,               0.008614
                     16,                0.48036,                0.26764,                0.84842,                0.98894,                0.63342,                0.70107,                0.54789,                0.37549,                0.19832,                0.80222,               0.008515,               0.008515,               0.008515
                     17,                0.47404,                0.26398,                0.84755,                0.67506,                 0.6794,                0.66121,                0.53173,                 0.3668,                0.19472,                0.80019,               0.008416,               0.008416,               0.008416
                     18,                0.46755,                0.25977,                0.84686,                0.93368,                0.68213,                0.70214,                0.56368,                0.36243,                0.18931,                0.80092,               0.008317,               0.008317,               0.008317
                     19,                0.46163,                0.25658,                0.84591,                0.93944,                0.67824,                0.74425,                0.57291,                0.35284,                0.18446,                0.79888,               0.008218,               0.008218,               0.008218
                     20,                0.45533,                0.25229,                0.84301,                 0.9487,                0.69188,                0.73592,                0.56992,                0.35262,                0.18507,                0.79862,               0.008119,               0.008119,               0.008119
                     21,                0.45365,                0.25099,                0.84339,                0.90681,                0.69751,                0.72275,                0.57418,                0.35096,                0.18294,                0.79827,                0.00802,                0.00802,                0.00802
                     22,                 0.4471,                0.24713,                0.83899,                 0.9553,                0.72449,                0.74235,                0.57993,                0.34353,                0.17742,                0.79538,               0.007921,               0.007921,               0.007921
                     23,                0.44421,                0.24753,                0.83988,                0.75982,                0.68521,                0.70633,                0.57069,                0.34268,                0.17849,                0.79592,               0.007822,               0.007822,               0.007822
                     24,                0.44103,                0.24442,                0.83668,                0.84167,                0.73528,                 0.7297,                0.59148,                0.33492,                0.17269,                0.79281,               0.007723,               0.007723,               0.007723
                     25,                0.43768,                0.24286,                0.83888,                0.72123,                0.73197,                0.70671,                0.57352,                0.33303,                0.17346,                 0.7931,               0.007624,               0.007624,               0.007624
